source,source_short,native_variable,factor,physical_meaning,native_unit,output_name,output_unit,spatial_support,spatial_resolution,spatial_type,temporal_support,temporal_resolution,transformation,within_source_aggregation,harmonisation_rule,source_weight,dispatch_status,provider,dataset,reference,notes
farmwise_api.adapters.API_readers.correctiv.correctiv_read,correctiv.correctiv_read,max_gwl,(unassigned),Max Groundwater Depth,,Max Groundwater Depth [a.s.l],a.s.l,,,-,,-,,mean,weighted_mean,,disabled,"CORRECTIV (CORRECTIV.Lokal), compiling observations supplied by the groundwater monitoring authorities of 13 German federal states","monthly minimum, mean and maximum groundwater levels in metres above sea level for roughly 6,700 monitoring stations, 1990-2021, with long-term trend classifications",https://github.com/correctiv/grundwasser-data,
farmwise_api.adapters.API_readers.correctiv.correctiv_read,correctiv.correctiv_read,mean_gwl,(unassigned),Mean Groundwater Depth,,Mean Groundwater Depth [a.s.l],a.s.l,,,-,,-,,mean,weighted_mean,,disabled,"CORRECTIV (CORRECTIV.Lokal), compiling observations supplied by the groundwater monitoring authorities of 13 German federal states","monthly minimum, mean and maximum groundwater levels in metres above sea level for roughly 6,700 monitoring stations, 1990-2021, with long-term trend classifications",https://github.com/correctiv/grundwasser-data,
farmwise_api.adapters.API_readers.correctiv.correctiv_read,correctiv.correctiv_read,min_gwl,(unassigned),Min Groundwater Depth,,Min Groundwater Depth [a.s.l],a.s.l,,,-,,-,,mean,weighted_mean,,disabled,"CORRECTIV (CORRECTIV.Lokal), compiling observations supplied by the groundwater monitoring authorities of 13 German federal states","monthly minimum, mean and maximum groundwater levels in metres above sea level for roughly 6,700 monitoring stations, 1990-2021, with long-term trend classifications",https://github.com/correctiv/grundwasser-data,
farmwise_api.adapters.API_readers.IFSGRID.IFSGRID_read,IFSGRID.IFSGRID_read,HOLDING,agricultural structure,Number of farms,,Number of farms,,,,point,,none,,mean,weighted_mean,1.0,disabled,Eurostat and contributing national statistical authorities,,https://doi.org/10.5281/zenodo.14852709,
farmwise_api.adapters.API_readers.IFSGRID.IFSGRID_read,IFSGRID.IFSGRID_read,HldnPK2,agricultural structure,Density of farms,,Density of farms,,,,point,,none,,mean,weighted_mean,1.0,disabled,Eurostat and contributing national statistical authorities,,https://doi.org/10.5281/zenodo.14852709,
farmwise_api.adapters.API_readers.IFSGRID.IFSGRID_read,IFSGRID.IFSGRID_read,SO_EURO,agricultural structure,Standard agricultural output expressed in euros,,Standard agricultural output expressed in euros,,,,point,,none,,mean,weighted_mean,1.0,disabled,Eurostat and contributing national statistical authorities,,https://doi.org/10.5281/zenodo.14852709,
farmwise_api.adapters.API_readers.IFSGRID.IFSGRID_read,IFSGRID.IFSGRID_read,UAA,agricultural structure,Total utilised agricultural area,,Total utilised agricultural area,,,,point,,none,,mean,weighted_mean,1.0,disabled,Eurostat and contributing national statistical authorities,,https://doi.org/10.5281/zenodo.14852709,
farmwise_api.adapters.API_readers.eea.eea_read,eea.eea_read,value,environmental data (EEA),environmental data,,environmental data (EEA),EEA,,,point,,none,,mean,weighted_mean,1.0,public,European Environment Agency (EEA),"Marc J. Metzger (2018), The Environmental Stratification of Europe, University of Edinburgh, <https://doi.org/10.7488/ds/2356>",https://www.eea.europa.eu/en/datahub/datahubitem-view/c8c4144a-8c0e-4686-9422-80dbf86bc0cb,
farmwise_api.adapters.API_readers.gios_gw.gios_gw,gios_gw.gios_gw,Arsenic [mgAs/l],groundwater quality,Arsenic,,Arsenic [mgAs/l],mgAs/l,,,point,,daily,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios_gw.gios_gw,gios_gw.gios_gw,Cadmium [mgCd/l],groundwater quality,Cadmium,,Cadmium [mgCd/l],mgCd/l,,,point,,daily,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
farmwise_api.adapters.API_readers.gios_gw.gios_gw,gios_gw.gios_gw,Calcium [mgCa/l],groundwater quality,Calcium,,Calcium [mgCa/l],mgCa/l,,,point,,daily,,mean,weighted_mean,1.0,public,Główny Inspektorat Ochrony Środowiska (GIOŚ),,,
