timestamp,cell,variable,reference_value,candidate_value,reference_source,candidate_source,difference
2024-01-01,cell-00,temperature,8.922310481605175,7.900258508630632,ERA5,DWD,-1.022051972974543
2024-01-01,cell-00,precipitation,0.0,0.7309500985161226,ERA5,DWD,0.7309500985161226
2024-01-01,cell-01,temperature,8.88943945954962,8.593015992543334,ERA5,DWD,-0.2964234670062851
2024-01-01,cell-01,precipitation,1.9201878556404435,2.6085881167422316,ERA5,DWD,0.6884002611017881
2024-01-01,cell-02,temperature,8.625621459917456,8.705295618787565,ERA5,DWD,0.07967415887010887
2024-01-01,cell-02,precipitation,2.6633408185048104,3.1950863519420274,ERA5,DWD,0.531745533437217
2024-01-01,cell-03,temperature,8.553179606874755,8.587384414271629,ERA5,DWD,0.034204807396873704
2024-01-01,cell-03,precipitation,3.5505825967145572,4.518300560133429,ERA5,DWD,0.9677179634188722
2024-01-01,cell-04,temperature,9.13867426853169,8.914288040871634,ERA5,DWD,-0.22438622766005523
2024-01-01,cell-04,precipitation,3.7013631887649807,2.301763072072442,ERA5,DWD,-1.3996001166925387
2024-01-01,cell-05,temperature,8.459434205150725,8.779188003138085,ERA5,DWD,0.31975379798736014
2024-01-01,cell-05,precipitation,2.8075239246765076,2.169184571223814,ERA5,DWD,-0.6383393534526935
2024-01-01,cell-06,temperature,9.135907174377264,9.13426124596913,ERA5,DWD,-0.0016459284081342673
2024-01-01,cell-06,precipitation,0.442669067751702,1.6019996267911143,ERA5,DWD,1.1593305590394123
2024-01-01,cell-07,temperature,9.83861184262766,8.823164062259178,ERA5,DWD,-1.0154477803684827
2024-01-01,cell-07,precipitation,3.7438851570777247,4.523104744430501,ERA5,DWD,0.7792195873527765
2024-01-02,cell-00,temperature,8.4026272599409,7.6601534595239436,ERA5,DWD,-0.7424738004169562
2024-01-02,cell-00,precipitation,3.37327757811808,3.032896252780617,ERA5,DWD,-0.340381325337463
2024-01-02,cell-01,temperature,8.137826100828903,7.7368899628001255,ERA5,DWD,-0.4009361380287775
2024-01-02,cell-01,precipitation,2.4039768690352172,1.510696319464558,ERA5,DWD,-0.8932805495706593
2024-01-02,cell-02,temperature,7.877440616447517,8.525026472733217,ERA5,DWD,0.6475858562856995
2024-01-02,cell-02,precipitation,3.207412990243874,3.883385878961849,ERA5,DWD,0.675972888717975
2024-01-02,cell-03,temperature,9.489170929926583,8.422435583619695,ERA5,DWD,-1.0667353463068885
2024-01-02,cell-03,precipitation,3.4150877199586667,2.570615796021346,ERA5,DWD,-0.8444719239373208
2024-01-02,cell-04,temperature,8.557397279668821,9.937375545556288,ERA5,DWD,1.3799782658874662
2024-01-02,cell-04,precipitation,2.324576488089048,2.1896187420218705,ERA5,DWD,-0.13495774606717736
2024-01-02,cell-05,temperature,8.926172866170734,8.96851359259607,ERA5,DWD,0.04234072642533526
2024-01-02,cell-05,precipitation,0.9378939451823771,0.486778866544218,ERA5,DWD,-0.45111507863815914
2024-01-02,cell-06,temperature,10.078517665092166,8.885907860339664,ERA5,DWD,-1.192609804752502
2024-01-02,cell-06,precipitation,9.135604804293564,10.589205709196383,ERA5,DWD,1.4536009049028191
2024-01-02,cell-07,temperature,9.348093423995678,8.990663839354163,ERA5,DWD,-0.3574295846415154
2024-01-02,cell-07,precipitation,5.44154909482062,4.805432486458886,ERA5,DWD,-0.6361166083617338
2024-01-03,cell-00,temperature,8.992556523382959,8.893970581162266,ERA5,DWD,-0.0985859422206925
2024-01-03,cell-00,precipitation,4.108746140242442,3.087722791937106,ERA5,DWD,-1.0210233483053357
2024-01-03,cell-01,temperature,9.546440193524262,7.738591486299898,ERA5,DWD,-1.8078487072243643
2024-01-03,cell-01,precipitation,0.3456603305501056,0.0,ERA5,DWD,-0.3456603305501056
2024-01-03,cell-02,temperature,9.76479011786912,8.532875467339663,ERA5,DWD,-1.2319146505294576
2024-01-03,cell-02,precipitation,2.2467329117660433,1.6835913604080366,ERA5,DWD,-0.5631415513580067
2024-01-03,cell-03,temperature,8.984037063405427,8.85246699617043,ERA5,DWD,-0.13157006723499798
2024-01-03,cell-03,precipitation,4.979754427808782,6.024205971530374,ERA5,DWD,1.0444515437215918
2024-01-03,cell-04,temperature,8.461327271031433,9.523075131931705,ERA5,DWD,1.0617478609002724
2024-01-03,cell-04,precipitation,3.2370679997804626,2.6690055210359658,ERA5,DWD,-0.5680624787444968
2024-01-03,cell-05,temperature,8.798905384033178,8.600964834415675,ERA5,DWD,-0.19794054961750263
2024-01-03,cell-05,precipitation,2.773256934288073,3.0372690166660528,ERA5,DWD,0.2640120823779797
2024-01-03,cell-06,temperature,8.382580925259772,8.509357282999023,ERA5,DWD,0.1267763577392511
2024-01-03,cell-06,precipitation,0.0,0.19395902070844426,ERA5,DWD,0.19395902070844426
2024-01-03,cell-07,temperature,9.836177814076873,9.170219055282438,ERA5,DWD,-0.6659587587944351
2024-01-03,cell-07,precipitation,1.65705907595353,1.8024057950561416,ERA5,DWD,0.14534671910261165
2024-01-04,cell-00,temperature,8.934287040531286,8.51641836665746,ERA5,DWD,-0.4178686738738264
2024-01-04,cell-00,precipitation,5.858763471371268,5.702280359344442,ERA5,DWD,-0.15648311202682574
2024-01-04,cell-01,temperature,9.038259497064377,8.736557172261138,ERA5,DWD,-0.3017023248032391
