timestamp,cell,variable,source,value
2024-01-01,cell-00,temperature,ERA5,8.922310481605175
2024-01-01,cell-00,precipitation,ERA5,0.0
2024-01-01,cell-00,temperature,IMGW,7.640071613205959
2024-01-01,cell-00,precipitation,IMGW,0.7596628990102738
2024-01-01,cell-00,temperature,DWD,7.900258508630632
2024-01-01,cell-00,precipitation,DWD,0.7309500985161226
2024-01-01,cell-00,temperature,GeoSphere,7.786786723472926
2024-01-01,cell-00,precipitation,GeoSphere,1.1666376241969378
2024-01-01,cell-01,temperature,ERA5,8.88943945954962
2024-01-01,cell-01,precipitation,ERA5,1.9201878556404435
2024-01-01,cell-01,temperature,IMGW,8.583058700718789
2024-01-01,cell-01,precipitation,IMGW,2.0561656417794087
2024-01-01,cell-01,temperature,DWD,8.593015992543334
2024-01-01,cell-01,precipitation,DWD,2.6085881167422316
2024-01-01,cell-01,temperature,GeoSphere,8.315310688938592
2024-01-01,cell-01,precipitation,GeoSphere,2.249467709145309
2024-01-01,cell-02,temperature,ERA5,8.625621459917456
2024-01-01,cell-02,precipitation,ERA5,2.6633408185048104
2024-01-01,cell-02,temperature,IMGW,8.850685893480437
2024-01-01,cell-02,precipitation,IMGW,2.3012654878845904
2024-01-01,cell-02,temperature,DWD,8.705295618787565
2024-01-01,cell-02,precipitation,DWD,3.1950863519420274
2024-01-01,cell-02,temperature,GeoSphere,8.500070561508652
2024-01-01,cell-02,precipitation,GeoSphere,1.8278963323895974
2024-01-01,cell-03,temperature,ERA5,8.553179606874755
2024-01-01,cell-03,precipitation,ERA5,3.5505825967145572
2024-01-01,cell-03,temperature,IMGW,8.147452968073928
2024-01-01,cell-03,precipitation,IMGW,4.554549459284418
2024-01-01,cell-03,temperature,DWD,8.587384414271629
2024-01-01,cell-03,precipitation,DWD,4.518300560133429
2024-01-01,cell-03,temperature,GeoSphere,8.17435176558072
2024-01-01,cell-03,precipitation,GeoSphere,4.337447313975527
2024-01-01,cell-04,temperature,ERA5,9.13867426853169
2024-01-01,cell-04,precipitation,ERA5,3.7013631887649807
2024-01-01,cell-04,temperature,IMGW,8.870368789623702
2024-01-01,cell-04,precipitation,IMGW,3.1393566512797664
2024-01-01,cell-04,temperature,DWD,8.914288040871634
