dimension,input_value,level,factor_count,bbox_area_degrees2,cell_count,value_count,latency_seconds,peak_memory_mb,normalized_scale
S2 level,6.0,6,2,0.3500000000000014,2,24,0.06501174999993964,0.07790756225585938,0.0
S2 level,7.0,7,2,0.3500000000000014,4,48,0.10400535000007949,0.09116649627685547,0.16666666666666666
S2 level,8.0,8,2,0.3500000000000014,9,108,0.13229335000050924,0.12229156494140625,0.3333333333333333
S2 level,9.0,9,2,0.3500000000000014,19,228,0.38737120000041614,0.18381500244140625,0.5
S2 level,10.0,10,2,0.3500000000000014,53,636,0.8415989000000081,0.3487091064453125,0.6666666666666666
S2 level,11.0,11,2,0.3500000000000014,174,2088,2.2751318499999797,0.9667119979858398,0.8333333333333334
S2 level,12.0,12,2,0.3500000000000014,627,7524,7.7733862000000045,3.3734827041625977,1.0
Bounding-box area,0.0625,10,2,0.0625,15,180,0.1869689500003915,0.1565265655517578,0.0
Bounding-box area,0.25,10,2,0.25,41,492,0.49009015000001455,0.32719898223876953,0.02097902097902098
Bounding-box area,1.0,10,2,1.0,128,1536,1.5325100000004568,0.736851692199707,0.1048951048951049
Bounding-box area,4.0,10,2,4.0,459,5508,5.651491149999856,2.489180564880371,0.4405594405594406
Bounding-box area,9.0,10,2,9.0,991,11892,11.787275350000527,5.242304801940918,1.0
Factor count,1.0,10,1,0.3500000000000014,53,318,0.2860991000006834,0.24563217163085938,0.0
Factor count,2.0,10,2,0.3500000000000014,53,636,0.5717644000001201,0.3649625778198242,0.2
Factor count,3.0,10,3,0.3500000000000014,53,954,0.82136969999965,0.5186433792114258,0.4
Factor count,4.0,10,4,0.3500000000000014,53,1272,1.0884664499999417,0.6019601821899414,0.6
Factor count,6.0,10,6,0.3500000000000014,53,1908,1.8189581000001454,0.8621225357055664,1.0
